Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Johnny Walker,Johnny Walker,Zhang Mingyang,1-0,50-20,0-0,0-0,Light Heavyweight,KO/TKO-Punches,2,2:37
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Aljamain Sterling,Aljamain Sterling,Brian Ortega,0-0,124-55,3-0,0-0,Catch Weight,U-DEC,5,5:00
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Sergei Pavlovich,Sergei Pavlovich,Waldo Cortes-Acosta,0-0,61-45,0-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Sumudaerji,Sumudaerji,Kevin Borjas,0-0,73-16,0-0,0-0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Taiyilake Nueraji,Taiyilake Nueraji,Kiefer Crosbie,0-0,27-2,1-0,0-0,Welterweight,KO/TKO-Elbows,1,3:33
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Gauge Young,Gauge Young,Maheshate,0-0,112-66,3-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Charles Johnson,Charles Johnson,Lone'er Kavanagh,1-0,44-59,1-1,0-1,Flyweight,KO/TKO-Punch,2,4:35
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Rongzhu,Rongzhu,Austin Hubbard,0-0,101-75,0-2,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Kyle Daukaus,Kyle Daukaus,Michel Pereira,1-0,5-2,0-0,0-0,Middleweight,KO/TKO-Elbows,1,0:43
UFC Fight Night: Walker vs. Zhang,"August 23, 2025",Yizha,Yizha,Westin Wilson,2-0,13-0,0-0,0-0,Featherweight,KO/TKO-Punches,1,0:37
